Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,800,529,83,1517,332.38,0.000%,457.92788,193.64,163.67,433.0
TOTAL,800,529,83,1517,332.38,0.000%,457.92788,193.64,163.67,433.0
