Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,700,722,76,1666,372.51,0.000%,381.67939,161.39,136.42,433.0
TOTAL,700,722,76,1666,372.51,0.000%,381.67939,161.39,136.42,433.0
