Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,182,79,391,66.60,0.000%,278.81041,117.90,99.65,433.0
TOTAL,300,182,79,391,66.60,0.000%,278.81041,117.90,99.65,433.0
