Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,150,79,69,103,5.92,0.000%,134.04826,56.68,47.91,433.0
TOTAL,150,79,69,103,5.92,0.000%,134.04826,56.68,47.91,433.0
