Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000,1045,70,15304,1390.03,0.000%,248.10202,104.91,88.68,433.0
TOTAL,5000,1045,70,15304,1390.03,0.000%,248.10202,104.91,88.68,433.0
