Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,79,67,94,7.51,0.000%,471.69811,199.46,168.60,433.0
TOTAL,50,79,67,94,7.51,0.000%,471.69811,199.46,168.60,433.0
