Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,182,68,201,18.38,0.000%,246.30542,104.15,88.03,433.0
TOTAL,50,182,68,201,18.38,0.000%,246.30542,104.15,88.03,433.0
