Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,209,75,3158,466.40,0.000%,15.76293,6.67,5.63,433.0
TOTAL,50,209,75,3158,466.40,0.000%,15.76293,6.67,5.63,433.0
