Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,171,160,193,7.84,0.000%,255.10204,107.87,91.18,433.0
TOTAL,50,171,160,193,7.84,0.000%,255.10204,107.87,91.18,433.0
