Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,96,70,1079,140.41,0.000%,45.20796,19.12,16.16,433.0
TOTAL,50,96,70,1079,140.41,0.000%,45.20796,19.12,16.16,433.0
