Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,72,60,181,25.16,0.000%,47.52852,20.10,16.94,433.0
TOTAL,50,72,60,181,25.16,0.000%,47.52852,20.10,16.94,433.0
