Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,85,68,96,7.34,0.000%,471.69811,199.46,168.13,433.0
TOTAL,50,85,68,96,7.34,0.000%,471.69811,199.46,168.13,433.0
