Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,80,67,92,6.88,0.000%,520.83333,220.24,185.65,433.0
TOTAL,50,80,67,92,6.88,0.000%,520.83333,220.24,185.65,433.0
