Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,87,66,100,7.27,0.000%,495.04950,209.33,176.46,433.0
TOTAL,50,87,66,100,7.27,0.000%,495.04950,209.33,176.46,433.0
