Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,1633,66,1710,320.10,0.000%,29.18856,12.34,10.40,433.0
TOTAL,50,1633,66,1710,320.10,0.000%,29.18856,12.34,10.40,433.0
