Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,491,248,700,90.30,0.000%,70.02801,29.61,25.03,433.0
TOTAL,50,491,248,700,90.30,0.000%,70.02801,29.61,25.03,433.0
