Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,401,231,553,87.66,0.000%,87.41259,36.96,31.24,433.0
TOTAL,50,401,231,553,87.66,0.000%,87.41259,36.96,31.24,433.0
