Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,381,261,1149,246.58,0.000%,43.29004,18.31,15.47,433.0
TOTAL,50,381,261,1149,246.58,0.000%,43.29004,18.31,15.47,433.0
