Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,311,187,515,105.52,0.000%,94.51796,39.97,33.78,433.0
TOTAL,50,311,187,515,105.52,0.000%,94.51796,39.97,33.78,433.0
