Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,722,308,2077,391.08,0.000%,23.94636,10.13,8.56,433.0
TOTAL,50,722,308,2077,391.08,0.000%,23.94636,10.13,8.56,433.0
