Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,313,196,543,112.92,0.000%,89.44544,37.82,31.97,433.0
TOTAL,50,313,196,543,112.92,0.000%,89.44544,37.82,31.97,433.0
