Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,169,108,552,76.60,0.000%,34.55425,14.61,12.35,433.0
TOTAL,50,169,108,552,76.60,0.000%,34.55425,14.61,12.35,433.0
