Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,1008,434,1508,429.88,0.000%,33.09067,13.99,11.83,433.0
TOTAL,50,1008,434,1508,429.88,0.000%,33.09067,13.99,11.83,433.0
