Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,191,67,213,27.75,0.000%,229.35780,96.98,81.98,433.0
TOTAL,50,191,67,213,27.75,0.000%,229.35780,96.98,81.98,433.0
