Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,87,70,124,9.92,0.000%,292.39766,123.64,104.51,433.0
TOTAL,50,87,70,124,9.92,0.000%,292.39766,123.64,104.51,433.0
