Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,88,66,101,9.19,0.000%,462.96296,195.76,165.47,433.0
TOTAL,50,88,66,101,9.19,0.000%,462.96296,195.76,165.47,433.0
