Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,186,68,213,31.24,0.000%,234.74178,99.26,83.90,433.0
TOTAL,50,186,68,213,31.24,0.000%,234.74178,99.26,83.90,433.0
