Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,82,70,105,7.98,0.000%,312.50000,132.14,111.69,433.0
TOTAL,50,82,70,105,7.98,0.000%,312.50000,132.14,111.69,433.0
