Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,4000,246,73,2273,292.09,0.000%,636.03117,268.95,226.71,433.0
TOTAL,4000,246,73,2273,292.09,0.000%,636.03117,268.95,226.71,433.0
