Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3000,127,63,197,32.29,0.000%,1182.03310,499.82,421.33,433.0
TOTAL,3000,127,63,197,32.29,0.000%,1182.03310,499.82,421.33,433.0
