Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,12877,69,617645,47453.90,21.750%,32.07143,27.86,8.95,889.6
TOTAL,20000,12877,69,617645,47453.90,21.750%,32.07143,27.86,8.95,889.6
