Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,60000,4111,1,28378,4728.05,44.942%,302.37668,381.79,59.34,1292.9
TOTAL,60000,4111,1,28378,4728.05,44.942%,302.37668,381.79,59.34,1292.9
