Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,90000,4255,10,370492,13304.74,49.898%,242.40008,328.24,43.29,1386.6
TOTAL,90000,4255,10,370492,13304.74,49.898%,242.40008,328.24,43.29,1386.6
