Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,800,77,65,130,8.92,0.000%,813.00813,343.78,289.79,433.0
TOTAL,800,77,65,130,8.92,0.000%,813.00813,343.78,289.79,433.0
