Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,30000,4852,11,105064,4872.20,51.333%,225.21339,309.51,39.07,1407.3
TOTAL,30000,4852,11,105064,4872.20,51.333%,225.21339,309.51,39.07,1407.3
