Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,87,65,222,21.53,0.000%,682.59386,288.64,243.31,433.0
TOTAL,1000,87,65,222,21.53,0.000%,682.59386,288.64,243.31,433.0
