Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,73,61,1073,70.97,0.000%,112.10762,47.40,39.96,433.0
TOTAL,200,73,61,1073,70.97,0.000%,112.10762,47.40,39.96,433.0
