Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,700,117,73,310,32.80,0.000%,855.74572,361.85,305.03,433.0
TOTAL,700,117,73,310,32.80,0.000%,855.74572,361.85,305.03,433.0
