Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50000,5648,11,3302510,26306.78,41.390%,14.48500,17.23,3.03,1217.9
TOTAL,50000,5648,11,3302510,26306.78,41.390%,14.48500,17.23,3.03,1217.9
