Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,40000,5204,11,29313,5817.52,55.505%,287.99148,422.40,45.68,1501.9
TOTAL,40000,5204,11,29313,5817.52,55.505%,287.99148,422.40,45.68,1501.9
