Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,92,60,249,26.78,0.000%,803.21285,339.64,286.30,433.0
TOTAL,2000,92,60,249,26.78,0.000%,803.21285,339.64,286.30,433.0
