Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,81,65,217,26.62,0.000%,93.98496,39.74,33.59,433.0
TOTAL,100,81,65,217,26.62,0.000%,93.98496,39.74,33.59,433.0
