Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,250,81,64,153,16.55,0.000%,233.20896,98.61,83.35,433.0
TOTAL,250,81,64,153,16.55,0.000%,233.20896,98.61,83.35,433.0
