Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,800,7396,125,27278,4011.14,1.125%,29.19175,13.06,10.32,458.3
TOTAL,800,7396,125,27278,4011.14,1.125%,29.19175,13.06,10.32,458.3
